UNITID,mn_earn_wne_p6,md_earn_wne_p6,CONTROL,PREDDEG,UGDS,INEXPFTE,PPTUG_EF,C150_4,AVGFACSAL,ADM_RATE_ALL,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOld,UGDS_HISPOld,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PAR_ED_PCT_1STGEN,PAR_ED_PCT_MS,PAR_ED_PCT_HS,PAR_ED_PCT_PS,pct_grad_prof,female,first_gen,age_entry,DEBT_MDN
100724,21200,19300,1,3,4455,4535,0.1122,0.2287,5473,0.5071,756,4008,8016,0.0238,0.9677,0.0011,4.00E-04,0.0025,0.709860093,0.151232512,0.077281812,0.049300466,0.012325117,0.447219984,0.019742143,0.427477841,0.552780016,6.760000229,0.569999993,0.449999988,20.88999939,12563
100751,35700,32900,1,3,17372,6694,0.0942,0.629,7636,0.7367,1087,4864,13516,0.8354,0.1183,0.0092,0.0062,0.0152,0.366672465,0.141415898,0.167855279,0.191511567,0.13254479,0.300167069,0.012622981,0.287544088,0.699832931,9.210000038,0.560000002,0.300000012,20.77000046,14500
102632,32400,29600,1,3,1280,8530,0.4281,0.1875,5564,0.8194,1050,3858,10890,0.6523,0.0055,0.043,0.1813,0.0234,0.538961039,0.168831169,0.137987013,0.121753247,0.032467533,0.356617647,0.03125,0.325367647,0.643382353,9.539999962,0.660000026,0.360000014,26.51000023,7838.5
104151,39500,36300,1,3,39649,7565,0.1747,0.5493,8421,0.906,1096,4406,15095,0.6877,0.0372,0.0536,0.024,0.126,0.45090489,0.16722592,0.149843226,0.126739645,0.105286319,0.35041816,0.02921147,0.321206691,0.64958184,9.539999962,0.550000012,0.349999994,22.55999947,13285
104179,38300,33500,1,3,28023,9632,0.1225,0.5892,8399,0.877,1113,4498,13682,0.6551,0.0304,0.0573,0.0195,0.1541,0.427765487,0.159734513,0.153650443,0.126659292,0.132190266,0.301002148,0.025769506,0.275232641,0.698997853,11.43000031,0.550000012,0.300000012,21.52000046,12084
106342,29500,27100,2,3,469,11739,0.0277,0.6809,5475,0.717,1170,13905,13905,0.8657,0.0448,0.0085,0.0149,0.0192,0.41,0.196666667,0.166666667,0.13,0.096666667,0.352727273,0.014545455,0.338181818,0.647272727,5.940000057,0.569999993,0.349999994,20.89999962,10500
106397,38600,34500,1,3,13654,6329,0.1534,0.5642,7288,0.8745,1147,5495,13222,0.8323,0.0499,0.0266,0.0201,0.0209,0.392621028,0.159522286,0.183194711,0.149498827,0.115163148,0.334097684,0.01673928,0.317358404,0.665902316,8.479999542,0.519999981,0.330000013,21.45999908,13581
106458,28900,25500,1,3,8650,4464,0.1765,0.3912,5592,0.6476,990,5440,12145,0.7825,0.1682,0.0052,0.0037,0.0099,0.6287374,0.162822484,0.119255083,0.069195285,0.019989749,0.533385703,0.055773763,0.47761194,0.466614297,5.170000076,0.629999995,0.529999971,23.97999954,10500
107044,33600,31700,2,3,4124,6087,0.0572,0.5855,5418,0.6152,1090,10800,10800,0.87,0.0369,0.0075,0.0114,0.0145,0.254612546,0.145492884,0.222983658,0.232472325,0.144438587,0.228476821,0.007726269,0.220750552,0.771523179,8.180000305,0.550000012,0.230000004,20.59000015,16018
107983,30000,27200,1,3,2683,4317,0.1047,0.5027,5004,0.8164,973,4290,6300,0.6347,0.287,0.0075,0.0063,0.0108,0.620574482,0.170340681,0.116900468,0.074148297,0.018036072,0.516399695,0.019069413,0.497330282,0.483600305,4.610000134,0.569999993,0.519999981,22.40999985,8000
110422,48100,44900,1,3,17509,5917,0.0515,0.688,7671,0.1438,1208,4245,14415,0.6487,0.0116,0.1123,0.0081,0.0984,0.306065185,0.138139435,0.157781135,0.196632851,0.201381394,0.272055427,0.028406467,0.243648961,0.727944573,10.98999977,0.439999998,0.270000011,20.39999962,14500
110495,33300,29400,1,3,6479,5015,0.3056,0.517,6936,0.58,960,3030,13200,0.411,0.0366,0.1162,0.0099,0.2823,0.563953488,0.177325581,0.127906977,0.092054264,0.03875969,0.533441427,0.11633563,0.417105797,0.466558573,4.75,0.689999998,0.529999971,23.64999962,10310
110510,35300,31800,1,3,12686,4432,0.1778,0.4223,7380,0.6342,887,3092,13262,0.3167,0.1188,0.0812,0.0086,0.339,0.59826141,0.169357342,0.128065818,0.071406396,0.032909035,0.504924242,0.104356061,0.400568182,0.495075758,5.619999886,0.680000007,0.5,24.04000092,15953.5
110547,36500,32300,1,3,9071,4700,0.4093,0.351,7560,0.1272,828,2991,13161,0.1261,0.2742,0.0866,0.0049,0.3533,0.667449507,0.185767966,0.092062001,0.036167215,0.018553311,0.529993618,0.149968092,0.380025527,0.470006382,5.519999981,0.689999998,0.529999971,25.52000046,10500
110565,36400,33000,1,3,29580,4560,0.2827,0.4823,7422,0.6304,980,2990,13160,0.3249,0.0353,0.2236,0.0049,0.2709,0.558944058,0.170494616,0.127990089,0.08539026,0.057180978,0.448685999,0.085636611,0.363049388,0.551314001,7.860000134,0.600000024,0.449999988,22.60000038,10500
110644,42400,37600,1,3,22596,15349,0.0911,0.8012,9192,0.5494,1161,7457,25277,0.3751,0.0255,0.4035,0.0062,0.1084,0.466347758,0.161419513,0.150628546,0.120035599,0.101568584,0.377795011,0.072250226,0.305544785,0.622204989,11.42000008,0.579999983,0.379999995,20.51000023,10000
110662,46800,41100,1,3,24811,22841,0.0387,0.8738,10682,0.2299,1274,6504,24324,0.3357,0.0322,0.3808,0.0045,0.1527,0.530157715,0.160379369,0.126385337,0.093030691,0.090046888,0.362548828,0.0703125,0.292236328,0.637451172,11.13000011,0.579999983,0.360000014,20.92000008,12199.5
110680,42000,38400,1,3,20652,14487,0.0527,0.8457,9777,0.3932,1243,6685,24505,0.3197,0.0133,0.425,0.0043,0.1071,0.468406033,0.171354804,0.1543688,0.115368936,0.090501427,0.341433593,0.046767538,0.294666055,0.658566407,11.43000031,0.540000021,0.340000004,20.20000076,13625
110705,38100,34800,1,3,18044,7971,0.0349,0.7874,9606,0.531,1166,6997,24817,0.5209,0.0264,0.1623,0.0076,0.179,0.398762013,0.164196123,0.158983548,0.138947711,0.139110604,0.350094162,0.068361582,0.28173258,0.649905838,10.30000019,0.569999993,0.349999994,20.04999924,12944
112075,35700,31500,2,3,1419,3965,0.0345,0.5661,5353,0.6814,1046,19300,19300,0.6603,0.0409,0.0416,0.007,0.1233,0.291091594,0.153074028,0.179422836,0.200752823,0.17565872,0.286885246,0.021857924,0.265027322,0.713114754,10.01000023,0.610000014,0.289999992,22,12257
112084,30100,27900,2,3,508,4736,0.1004,0.5161,5038,0.716,991,15880,15880,0.6969,0.0689,0.0256,0.0059,0.1634,0.343490305,0.224376731,0.177285319,0.182825485,0.072022161,0.345679012,0.027777778,0.317901235,0.654320988,7.96999979,0.579999983,0.349999994,23.01000023,10500
114813,33800,30900,2,3,1077,6120,0.0947,0.5741,5461,0.6445,995,19674,19674,0.5896,0.0325,0.0325,0.0121,0.2581,0.428828829,0.192792793,0.200900901,0.11981982,0.057657658,0.442675159,0.074309979,0.368365181,0.557324841,5.190000057,0.689999998,0.439999998,26.02000046,11000
115728,42700,35600,2,3,657,6289,0.3272,0.275,5715,0.7653,982,21640,21640,0.2557,0.2648,0.0868,0.0122,0.1796,0.421911422,0.17948718,0.158508159,0.114219114,0.125874126,0.391304348,0.0625,0.328804348,0.608695652,10.07999992,0.75,0.389999986,25.85000038,14250
117946,46800,41300,2,3,5419,10861,0.0312,0.7601,8672,0.5647,1156,27710,27710,0.5737,0.0758,0.1297,0.0065,0.1971,0.303618711,0.124889673,0.152250662,0.162400706,0.256840247,0.221276596,0.024113475,0.197163121,0.778723404,12.47999954,0.589999974,0.219999999,20.12000084,15125
118888,36200,31400,2,3,881,13400,0.0443,0.6777,8401,0.7734,1129,29990,29990,0.4529,0.0806,0.0795,0.0125,0.0885,0.515789474,0.142105263,0.131578947,0.11754386,0.092982456,0.240704501,0.021526419,0.219178082,0.759295499,14.10000038,0.980000019,0.239999995,23.13999939,14499
120403,35900,32400,2,3,1038,10656,0.0183,0.475,5603,0.5899,1029,26260,26260,0.3382,0.026,0.2784,0.0077,0.1281,0.507042254,0.130784708,0.142857143,0.120724346,0.098591549,0.258426966,0.038202247,0.220224719,0.741573034,11.85999966,0.689999998,0.25999999,21.75,17125
